model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.3,27,126,96,3.556,255.6,10,0.1042,0.3704,0.1626,10,0.1042,0.3704,0.1626,0,0,0.5926,2.47,1.071,0.3328,0.3751,0.4331,0.6576,0.7777,0.5141,5.0634,28.21,1.477,2199,12.691,7.56,344.9
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.5,27,55,46,1.704,70.4,7,0.1522,0.2593,0.1918,7,0.1522,0.2593,0.1918,0,0,0.3333,2.47,1.039,0.5223,0.5777,0.6632,0.7615,0.8293,0.6696,5.922,28.8,1.259,2199,12.691,3.62,344.9
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.7,27,18,17,0.63,37.0,5,0.2941,0.1852,0.2273,5,0.2941,0.1852,0.2273,0,0,0.2222,2.47,0.796,0.7218,0.7371,0.7991,0.8436,0.8892,0.7991,6.7117,27.6,0.835,2199,12.691,1.34,344.9
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.3,25,45,43,1.72,72.0,13,0.3023,0.52,0.3824,13,0.3023,0.52,0.3824,0,0,0.6,1.114,1.042,0.3347,0.3975,0.4258,0.5846,0.7973,0.5069,5.9442,27.04,1.025,2200,12.729,3.38,289.7
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.5,25,17,17,0.68,32.0,10,0.5882,0.4,0.4762,10,0.5882,0.4,0.4762,0,0,0.32,1.114,1.022,0.5275,0.5689,0.6856,0.8089,0.8557,0.6824,7.5849,27.36,0.868,2200,12.729,1.34,289.7
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.7,25,8,8,0.32,68.0,7,0.875,0.28,0.4242,7,0.875,0.28,0.4242,0,0,0.16,1.114,1.07,0.7113,0.7417,0.8089,0.855,0.8788,0.8035,9.8509,27.85,0.668,2200,12.729,0.63,289.7
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.3,24,40,34,1.417,41.7,18,0.5294,0.75,0.6207,18,0.5294,0.75,0.6207,0,0,0.9583,1.19,0.978,0.3341,0.4255,0.6027,0.7109,0.8184,0.5828,7.5454,30.56,0.477,1212,7.109,4.78,135.1
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.5,24,25,23,0.958,4.2,12,0.5217,0.5,0.5106,12,0.5217,0.5,0.5106,0,0,0.6667,1.19,0.943,0.5446,0.6027,0.6665,0.7516,0.8495,0.685,7.692,30.75,0.423,1212,7.109,3.24,135.1
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.7,24,11,10,0.417,58.3,6,0.6,0.25,0.3529,6,0.6,0.25,0.3529,0,0,0.4167,1.19,1.148,0.7113,0.7241,0.771,0.8487,0.8859,0.7906,8.8718,33.11,0.378,1212,7.109,1.41,135.1
