model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.3,27,260,139,5.148,414.8,21,0.1511,0.7778,0.253,21,0.1511,0.7778,0.253,0,0,1.0,0.797,1.212,0.3607,0.4415,0.7085,0.9177,0.9753,0.6832,-0.11,28.04,0.297,1349,12.691,10.95,258.6
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.5,27,170,94,3.481,248.1,19,0.2021,0.7037,0.314,19,0.2021,0.7037,0.314,0,0,1.0,0.797,0.981,0.5842,0.7065,0.8828,0.9422,0.98,0.8232,0.6657,30.65,0.277,1349,12.691,7.41,258.6
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.7,27,118,71,2.63,163.0,18,0.2535,0.6667,0.3673,18,0.2535,0.6667,0.3673,0,0,0.963,0.797,0.988,0.7676,0.8273,0.9173,0.9622,0.9861,0.8937,1.103,31.46,0.238,1349,12.691,5.59,258.6
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.3,25,315,167,6.68,568.0,17,0.1018,0.68,0.1771,17,0.1018,0.68,0.1771,0,0,1.0,0.739,0.957,0.3671,0.4625,0.6269,0.8359,0.9261,0.6487,-0.5472,27.36,0.326,1348,12.729,13.12,261.1
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.5,25,197,119,4.76,376.0,17,0.1429,0.68,0.2361,17,0.1429,0.68,0.2361,0,0,1.0,0.739,0.957,0.5455,0.6031,0.779,0.8824,0.9422,0.7518,-0.1837,29.52,0.293,1348,12.729,9.35,261.1
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.7,25,115,71,2.84,184.0,14,0.1972,0.56,0.2917,14,0.1972,0.56,0.2917,0,0,0.96,0.739,0.913,0.7656,0.8024,0.8584,0.922,0.9572,0.8609,0.2636,30.18,0.271,1348,12.729,5.58,261.1
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.3,24,147,80,3.333,233.3,23,0.2875,0.9583,0.4423,23,0.2875,0.9583,0.4423,0,0,1.0,0.755,0.902,0.3339,0.4669,0.6862,0.92,0.9726,0.6778,0.4284,29.83,0.351,747,7.109,11.25,140.1
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.5,24,97,56,2.333,133.3,22,0.3929,0.9167,0.55,22,0.3929,0.9167,0.55,0,0,1.0,0.755,0.905,0.5399,0.6541,0.8483,0.9568,0.9793,0.8044,0.9106,31.62,0.351,747,7.109,7.88,140.1
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.7,24,70,39,1.625,62.5,19,0.4872,0.7917,0.6032,19,0.4872,0.7917,0.6032,0,0,1.0,0.755,0.909,0.772,0.8229,0.9218,0.9666,0.9863,0.8994,1.3379,32.75,0.311,747,7.109,5.49,140.1
