model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.3,27,276,158,5.852,485.2,22,0.1392,0.8148,0.2378,22,0.1392,0.8148,0.2378,0,0,0.8519,1.416,1.427,0.355,0.437,0.6299,0.8866,0.9772,0.6588,1.3888,29.21,0.307,2199,12.691,12.45,202.1
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.5,27,170,107,3.963,296.3,19,0.1776,0.7037,0.2836,19,0.1776,0.7037,0.2836,0,0,0.7037,1.416,1.38,0.5352,0.6255,0.8199,0.9502,0.9855,0.7843,1.9949,29.66,0.259,2199,12.691,8.43,202.1
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.7,27,102,70,2.593,159.3,16,0.2286,0.5926,0.3299,16,0.2286,0.5926,0.3299,0,0,0.5556,1.416,1.392,0.7394,0.8402,0.9085,0.9711,0.9919,0.8911,2.3878,31.0,0.217,2199,12.691,5.52,202.1
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.3,25,333,175,7.0,600.0,18,0.1029,0.72,0.18,18,0.1029,0.72,0.18,0,0,0.92,1.366,1.031,0.3445,0.4499,0.6625,0.8297,0.9197,0.6443,0.9757,27.84,0.234,2200,12.729,13.75,210.3
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.5,25,189,118,4.72,372.0,14,0.1186,0.56,0.1958,14,0.1186,0.56,0.1958,0,0,0.72,1.366,0.897,0.5741,0.6604,0.756,0.8806,0.9554,0.7659,1.3247,27.97,0.22,2200,12.729,9.27,210.3
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.7,25,113,80,3.2,220.0,13,0.1625,0.52,0.2476,13,0.1625,0.52,0.2476,0,0,0.56,1.366,0.857,0.726,0.7536,0.8409,0.9106,0.9712,0.8416,1.6568,28.89,0.197,2200,12.729,6.29,210.3
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.3,24,200,112,4.667,366.7,17,0.1518,0.7083,0.25,17,0.1518,0.7083,0.25,0,0,0.7917,1.086,1.029,0.3497,0.4396,0.6136,0.8066,0.9088,0.6187,1.4927,30.24,0.451,1212,7.109,15.75,123.0
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.5,24,117,74,3.083,208.3,16,0.2162,0.6667,0.3265,16,0.2162,0.6667,0.3265,0,0,0.4583,1.086,1.003,0.5249,0.6189,0.7102,0.8661,0.9534,0.7388,2.2092,30.86,0.329,1212,7.109,10.41,123.0
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.7,24,61,41,1.708,70.8,13,0.3171,0.5417,0.4,13,0.3171,0.5417,0.4,0,0,0.1667,1.086,0.996,0.7102,0.7882,0.8586,0.9153,0.9822,0.8548,2.7799,32.82,0.366,1212,7.109,5.77,123.0
