model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,spokane-i90_01_20260622,Spokane (arid),trained,1,1,0.7,55,73,52,0.945,5.5,24,0.4615,0.4364,0.4486,24,0.4615,0.4364,0.4486,0,0,0.8,0.711,0.798,0.7354,0.7685,0.8947,0.9423,0.9843,0.8645,1.9803,26.48,0.23,2240,20.149,2.58,362.9
kprcnn-warmup-v1,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,trained,1,1,0.3,50,159,94,1.88,88.0,28,0.2979,0.56,0.3889,28,0.2979,0.56,0.3889,0,0,0.92,0.755,0.905,0.3719,0.4346,0.6871,0.879,0.9671,0.6708,1.1312,29.0,0.279,1180,11.149,8.43,203.6
kprcnn-warmup-v1,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,trained,1,1,0.5,50,105,68,1.36,36.0,24,0.3529,0.48,0.4068,24,0.3529,0.48,0.4068,0,0,0.9,0.755,0.965,0.5244,0.6413,0.8086,0.9293,0.9715,0.7824,1.5188,29.52,0.267,1180,11.149,6.1,203.6
kprcnn-warmup-v1,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,trained,1,1,0.7,50,61,45,0.9,10.0,17,0.3778,0.34,0.3579,17,0.3778,0.34,0.3579,0,0,0.64,0.755,0.929,0.7464,0.818,0.882,0.9643,0.9796,0.8806,1.9725,30.36,0.289,1180,11.149,4.04,203.6
kprcnn-warmup-v1,Yakima-Toppenish_04_20260620,Yakima (arid),trained,1,1,0.3,43,242,141,3.279,227.9,29,0.2057,0.6744,0.3152,29,0.2057,0.6744,0.3152,0,0,1.0,0.928,1.12,0.3878,0.4942,0.6941,0.896,0.9729,0.683,1.4759,28.65,0.312,1353,12.694,11.11,237.1
kprcnn-warmup-v1,Yakima-Toppenish_04_20260620,Yakima (arid),trained,1,1,0.5,43,158,103,2.395,139.5,27,0.2621,0.6279,0.3699,27,0.2621,0.6279,0.3699,0,0,0.9535,0.928,1.103,0.5483,0.6502,0.813,0.927,0.9803,0.7865,1.9611,30.22,0.236,1353,12.694,8.11,237.1
kprcnn-warmup-v1,Yakima-Toppenish_04_20260620,Yakima (arid),trained,1,1,0.7,43,96,68,1.581,58.1,23,0.3382,0.5349,0.4144,23,0.3382,0.5349,0.4144,0,0,0.8837,0.928,1.065,0.7374,0.8132,0.8983,0.9668,0.9954,0.8814,2.3936,31.33,0.229,1353,12.694,5.36,237.1
kprcnn-warmup-v1,Yakima-Toppenish_02_20260509,Yakima (arid),trained,1,1,0.3,31,159,104,3.355,235.5,20,0.1923,0.6452,0.2963,20,0.1923,0.6452,0.2963,0,0,0.9355,1.122,1.165,0.3608,0.4028,0.5429,0.786,0.9217,0.5954,0.9081,29.76,0.309,1350,12.668,8.21,224.3
kprcnn-warmup-v1,Yakima-Toppenish_02_20260509,Yakima (arid),trained,1,1,0.5,31,88,61,1.968,96.8,17,0.2787,0.5484,0.3696,17,0.2787,0.5484,0.3696,0,0,0.8065,1.122,1.163,0.5332,0.5698,0.7505,0.8708,0.9589,0.7352,1.4891,31.04,0.272,1350,12.668,4.82,224.3
kprcnn-warmup-v1,Yakima-Toppenish_02_20260509,Yakima (arid),trained,1,1,0.7,31,46,34,1.097,9.7,13,0.3824,0.4194,0.4,13,0.3824,0.4194,0.4,0,0,0.6774,1.122,1.211,0.7528,0.7912,0.8576,0.9492,0.9724,0.8611,2.1644,32.5,0.226,1350,12.668,2.68,224.3
kprcnn-warmup-v1,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,trained,1,1,0.3,29,257,147,5.069,406.9,20,0.1361,0.6897,0.2273,20,0.1361,0.6897,0.2273,0,0,1.0,0.684,1.018,0.3359,0.4666,0.6736,0.8218,0.9358,0.6502,1.1895,28.07,0.322,1234,11.616,12.65,229.8
kprcnn-warmup-v1,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,trained,1,1,0.5,29,165,102,3.517,251.7,16,0.1569,0.5517,0.2443,16,0.1569,0.5517,0.2443,0,0,0.8276,0.684,0.901,0.5699,0.6621,0.768,0.8708,0.9531,0.7657,1.6949,29.25,0.319,1234,11.616,8.78,229.8
kprcnn-warmup-v1,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,trained,1,1,0.7,29,87,68,2.345,134.5,15,0.2206,0.5172,0.3093,15,0.2206,0.5172,0.3093,0,0,0.6552,0.684,0.915,0.735,0.768,0.8329,0.9139,0.9765,0.8441,2.193,30.96,0.244,1234,11.616,5.85,229.8
