model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,spokane-i90_01_20260622,Spokane (arid),unseen,0,1,0.5,55,1,1,0.018,98.2,1,1.0,0.0182,0.0357,1,1.0,0.0182,0.0357,0,0,0.0,0.599,3.434,0.6637,0.6637,0.6637,0.6637,0.6637,0.6637,11.0316,27.14,3.633,12486,20.149,0.05,438.3
kprcnn-adamiak-v2,spokane-i90_01_20260622,Spokane (arid),unseen,0,1,0.7,55,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.599,,,,,,,,,,,12486,20.149,0.0,438.3
kprcnn-adamiak-v2,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,unseen,0,1,0.3,50,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,,,,,,,,,,,,6668,11.149,0.0,249.4
kprcnn-adamiak-v2,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,unseen,0,1,0.5,50,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,,,,,,,,,,,,6668,11.149,0.0,249.4
kprcnn-adamiak-v2,blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,unseen,0,1,0.7,50,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,,,,,,,,,,,,6668,11.149,0.0,249.4
kprcnn-adamiak-v2,Yakima-Toppenish_04_20260620,Yakima (arid),unseen,0,1,0.3,43,4,4,0.093,90.7,3,0.75,0.0698,0.1277,3,0.75,0.0698,0.1277,0,0,0.0233,1.279,0.937,0.3249,0.3405,0.3984,0.5546,0.7471,0.4967,8.7275,30.18,0.176,7574,12.694,0.32,350.3
kprcnn-adamiak-v2,Yakima-Toppenish_04_20260620,Yakima (arid),unseen,0,1,0.5,43,1,1,0.023,97.7,1,1.0,0.0233,0.0455,1,1.0,0.0233,0.0455,0,0,0.0,1.279,1.2,0.8754,0.8754,0.8754,0.8754,0.8754,0.8754,8.2763,25.73,0.175,7574,12.694,0.08,350.3
kprcnn-adamiak-v2,Yakima-Toppenish_04_20260620,Yakima (arid),unseen,0,1,0.7,43,1,1,0.023,97.7,1,1.0,0.0233,0.0455,1,1.0,0.0233,0.0455,0,0,0.0,1.279,1.2,0.8754,0.8754,0.8754,0.8754,0.8754,0.8754,8.2763,25.73,0.175,7574,12.694,0.08,350.3
kprcnn-adamiak-v2,Yakima-Toppenish_02_20260509,Yakima (arid),unseen,0,1,0.3,31,2,2,0.065,93.5,1,0.5,0.0323,0.0606,1,0.5,0.0323,0.0606,0,0,0.0,1.242,0.809,0.3244,0.3307,0.3411,0.3516,0.3579,0.3411,8.5124,17.68,2.997,7553,12.668,0.16,303.2
kprcnn-adamiak-v2,Yakima-Toppenish_02_20260509,Yakima (arid),unseen,0,1,0.5,31,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.242,,,,,,,,,,,7553,12.668,0.0,303.2
kprcnn-adamiak-v2,Yakima-Toppenish_02_20260509,Yakima (arid),unseen,0,1,0.7,31,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.242,,,,,,,,,,,7553,12.668,0.0,303.2
kprcnn-adamiak-v2,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,unseen,0,1,0.3,29,1,1,0.034,96.6,1,1.0,0.0345,0.0667,1,1.0,0.0345,0.0667,0,0,0.0345,0.986,1.362,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,8.9551,28.94,0.553,6947,11.616,0.09,233.1
kprcnn-adamiak-v2,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,unseen,0,1,0.5,29,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0345,0.986,,,,,,,,,,,6947,11.616,0.0,233.1
kprcnn-adamiak-v2,blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,unseen,0,1,0.7,29,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.986,,,,,,,,,,,6947,11.616,0.0,233.1
