model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.3,27,133,112,4.148,314.8,14,0.125,0.5185,0.2014,14,0.125,0.5185,0.2014,0,0,0.9259,1.056,1.091,0.3291,0.3683,0.4387,0.618,0.7564,0.5055,4.9281,29.51,1.265,1349,12.691,8.83,216.7
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.5,27,51,47,1.741,74.1,13,0.2766,0.4815,0.3514,13,0.2766,0.4815,0.3514,0,0,0.8148,1.056,1.122,0.5258,0.5678,0.6807,0.7559,0.8637,0.6779,6.0667,30.49,0.885,1349,12.691,3.7,216.7
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,0.7,27,22,21,0.778,22.2,10,0.4762,0.3704,0.4167,10,0.4762,0.3704,0.4167,0,0,0.7037,1.056,1.004,0.7312,0.7417,0.7617,0.8591,0.9184,0.7946,7.3707,29.49,0.697,1349,12.691,1.65,216.7
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.3,25,75,69,2.76,176.0,9,0.1304,0.36,0.1915,9,0.1304,0.36,0.1915,0,0,0.96,0.922,1.12,0.3207,0.3599,0.4175,0.5092,0.7615,0.4629,4.5854,28.2,1.235,1348,12.729,5.42,196.3
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.5,25,21,18,0.72,28.0,7,0.3889,0.28,0.3256,7,0.3889,0.28,0.3256,0,0,0.8,0.922,1.06,0.5237,0.5474,0.6157,0.8009,0.8875,0.6774,6.4614,25.25,0.861,1348,12.729,1.41,196.3
kprcnn-adamiak-v2,Yakima-Toppenish_01_20260503,Yakima (arid),held-out:unspecified,0,1,0.7,25,8,8,0.32,68.0,6,0.75,0.24,0.3636,6,0.75,0.24,0.3636,0,0,0.6,0.922,1.075,0.7641,0.7779,0.8095,0.8861,0.9133,0.8302,9.2037,27.36,0.522,1348,12.729,0.63,196.3
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.3,24,44,39,1.625,62.5,21,0.5385,0.875,0.6667,21,0.5385,0.875,0.6667,0,0,0.9583,0.832,0.907,0.3731,0.4273,0.6094,0.7371,0.8107,0.5951,7.6605,31.25,0.448,747,7.109,5.49,109.3
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.5,24,26,25,1.042,4.2,17,0.68,0.7083,0.6939,17,0.68,0.7083,0.6939,0,0,0.9583,0.832,0.873,0.5144,0.6562,0.7243,0.7722,0.8605,0.7055,8.5451,31.57,0.463,747,7.109,3.52,109.3
kprcnn-adamiak-v2,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,held-out:unspecified,0,1,0.7,24,14,14,0.583,41.7,11,0.7857,0.4583,0.5789,11,0.7857,0.4583,0.5789,0,0,0.875,0.832,0.976,0.7255,0.7367,0.7713,0.8258,0.8969,0.7903,9.1443,32.81,0.363,747,7.109,1.97,109.3
