scene_id,corridor,model,threshold,annotated_count,detected_count,TP,FP,FN,precision,recall,f1,count_ratio,signed_count_error_pct
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.5,25,111,14,97,11,0.126126,0.56,0.205882,4.44,344.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.65,25,76,13,63,12,0.171053,0.52,0.257426,3.04,204.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.7,25,68,10,58,15,0.147059,0.4,0.215054,2.72,172.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.775,25,47,7,40,18,0.148936,0.28,0.194444,1.88,88.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.85,25,32,4,28,21,0.125,0.16,0.140351,1.28,28.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.9,25,21,3,18,22,0.142857,0.12,0.130435,0.84,-16.0
Yakima-Toppenish_01_20260503,Yakima (arid),MODEL_B,0.95,25,9,3,6,22,0.333333,0.12,0.176471,0.36,-64.0
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.3,31,104,20,84,11,0.192308,0.645161,0.296296,3.354839,235.4839
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.5,31,61,17,44,14,0.278689,0.548387,0.369565,1.967742,96.7742
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.65,31,37,13,24,18,0.351351,0.419355,0.382353,1.193548,19.3548
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.7,31,34,13,21,18,0.382353,0.419355,0.4,1.096774,9.6774
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.775,31,27,12,15,19,0.444444,0.387097,0.413793,0.870968,-12.9032
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.85,31,17,9,8,22,0.529412,0.290323,0.375,0.548387,-45.1613
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.9,31,12,6,6,25,0.5,0.193548,0.27907,0.387097,-61.2903
Yakima-Toppenish_02_20260509,Yakima (arid),MODEL_B,0.95,31,9,5,4,26,0.555556,0.16129,0.25,0.290323,-70.9677
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.3,27,143,18,125,9,0.125874,0.666667,0.211765,5.296296,429.6296
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.5,27,94,17,77,10,0.180851,0.62963,0.280992,3.481481,248.1481
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.65,27,72,16,56,11,0.222222,0.592593,0.323232,2.666667,166.6667
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.7,27,65,14,51,13,0.215385,0.518519,0.304348,2.407407,140.7407
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.775,27,51,13,38,14,0.254902,0.481481,0.333333,1.888889,88.8889
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.85,27,36,10,26,17,0.277778,0.37037,0.31746,1.333333,33.3333
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.9,27,23,9,14,18,0.391304,0.333333,0.36,0.851852,-14.8148
Yakima-Toppenish_03_20260614,Yakima (arid),MODEL_B,0.95,27,15,7,8,20,0.466667,0.259259,0.333333,0.555556,-44.4444
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.3,43,141,29,112,14,0.205674,0.674419,0.315217,3.27907,227.907
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.5,43,103,27,76,16,0.262136,0.627907,0.369863,2.395349,139.5349
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.65,43,77,25,52,18,0.324675,0.581395,0.416667,1.790698,79.0698
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.7,43,68,23,45,20,0.338235,0.534884,0.414414,1.581395,58.1395
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.775,43,56,22,34,21,0.392857,0.511628,0.444444,1.302326,30.2326
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.85,43,44,18,26,25,0.409091,0.418605,0.413793,1.023256,2.3256
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.9,43,31,11,20,32,0.354839,0.255814,0.297297,0.72093,-27.907
