model,window,gate,thr,dedup,TP,FP,FN,det,P,R,F1,ratio,ref_F1,ref_R,n_scenes,n_veh,raw_detections
adamiak-v2,64,8.0,0.05,8.0,401,159,179,560,0.7160714285714286,0.6913793103448276,0.7035087719298245,0.9655172413793104,0.5113636363636364,0.46551724137931033,10,580,8988
adamiak-v2,48,8.5,0.05,8.0,369,123,211,492,0.75,0.6362068965517241,0.6884328358208955,0.8482758620689655,0.49693251533742333,0.4189655172413793,10,580,7481
adamiak-v2,32,5.0,0.05,8.0,114,33,385,147,0.7755102040816326,0.22845691382765532,0.35294117647058826,0.29458917835671344,0.054474708171206226,0.028056112224448898,8,499,179
adamiak-v2,24,7.0,0.05,8.0,248,95,332,343,0.7230320699708455,0.42758620689655175,0.5373781148429035,0.5913793103448276,0.18902439024390244,0.10689655172413794,10,580,805
nojitter-v1,64,2.0,0.35,8.0,61,16,19,77,0.7922077922077922,0.7625,0.7770700636942676,0.9625,0.4973544973544973,0.5875,1,80,2103
warmup-v1,64,3.0,0.1,8.0,391,299,189,690,0.5666666666666667,0.6741379310344827,0.6157480314960629,1.1896551724137931,0.3946700507614213,0.5362068965517242,10,580,10688
warmup-v1,48,3.5,0.05,8.0,363,234,217,597,0.6080402010050251,0.6258620689655172,0.616822429906542,1.0293103448275862,0.4191763982790412,0.5879310344827586,10,580,11803
warmup-v1,32,3.5,0.05,8.0,349,179,231,528,0.6609848484848485,0.6017241379310345,0.6299638989169675,0.9103448275862069,0.49038461538461536,0.6155172413793103,10,580,7101
warmup-v1,24,2.0,0.65,8.0,386,275,194,661,0.583963691376702,0.6655172413793103,0.6220789685737309,1.139655172413793,0.4539089848308051,0.6706896551724137,10,580,10132
