model,window,scene,gt_area,quartile,found
adamiak-v2,24,Tacoma-Centralia_01_20260429,130.3960434615924,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,160.35136323029104,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,173.82268765764442,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,180.61413713962006,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,199.7973133425923,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,119.92073345481356,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,105.75916744619967,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,105.097888279749,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,120.12485890214558,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,109.56668374805243,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,98.0494151038671,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,146.94518611288265,Q2,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,159.27559221539468,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,175.18285061582677,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,199.22274338853902,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,184.01283361107744,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,174.6495681787961,Q4,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,204.72342900756135,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,241.08141561317916,Q4,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,236.5385273133063,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,219.30078177716481,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,185.29926893632364,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,147.000121077867,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,136.7043090715973,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,155.5975385645179,Q3,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,159.04620048632384,Q3,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,143.30090564613533,Q2,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,170.8598593557325,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,121.81987575977023,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,149.74110476607444,Q2,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,120.30323149116894,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,127.56032731287439,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,138.13255307003405,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,159.0029229657605,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,154.1806549249067,Q3,1
