model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.3,27,234,143,5.296,429.6,18,0.1259,0.6667,0.2118,18,0.1259,0.6667,0.2118,0,0,0.9259,1.16,1.456,0.3419,0.442,0.6515,0.8496,0.9551,0.6448,1.2995,28.11,0.333,1349,12.691,11.27,170.4
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.5,27,144,94,3.481,248.1,17,0.1809,0.6296,0.281,17,0.1809,0.6296,0.281,0,0,0.8519,1.16,1.468,0.5604,0.6578,0.7952,0.8928,0.9801,0.7784,1.6897,29.07,0.325,1349,12.691,7.41,170.4
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.7,27,85,65,2.407,140.7,14,0.2154,0.5185,0.3043,14,0.2154,0.5185,0.3043,0,0,0.8148,1.16,1.549,0.7532,0.7803,0.8539,0.9345,0.99,0.8618,2.1435,30.1,0.314,1349,12.691,5.12,170.4
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.3,25,257,155,6.2,520.0,16,0.1032,0.64,0.1778,16,0.1032,0.64,0.1778,0,0,1.0,0.945,0.991,0.3566,0.4875,0.6451,0.8113,0.9116,0.6478,0.8847,28.07,0.237,1348,12.729,12.18,184.6
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.5,25,155,111,4.44,344.0,14,0.1261,0.56,0.2059,14,0.1261,0.56,0.2059,0,0,1.0,0.945,1.033,0.5465,0.6234,0.7447,0.8764,0.9291,0.7459,1.1848,28.95,0.237,1348,12.729,8.72,184.6
kprcnn-warmup-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.7,25,78,68,2.72,172.0,10,0.1471,0.4,0.2151,10,0.1471,0.4,0.2151,0,0,0.92,0.945,0.925,0.7282,0.7604,0.8357,0.9073,0.9659,0.8406,1.5611,30.0,0.191,1348,12.729,5.34,184.6
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.3,24,142,89,3.708,270.8,14,0.1573,0.5833,0.2478,14,0.1573,0.5833,0.2478,0,0,1.0,0.892,1.019,0.3813,0.4414,0.6324,0.7754,0.8919,0.6267,1.4749,27.94,0.363,747,7.109,12.52,107.0
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.5,24,89,63,2.625,162.5,14,0.2222,0.5833,0.3218,14,0.2222,0.5833,0.3218,0,0,1.0,0.892,1.019,0.5575,0.6152,0.7176,0.8531,0.9099,0.7244,2.0156,29.67,0.296,747,7.109,8.86,107.0
kprcnn-warmup-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.7,24,44,34,1.417,41.7,8,0.2353,0.3333,0.2759,8,0.2353,0.3333,0.2759,0,0,0.75,0.892,0.958,0.7203,0.757,0.8359,0.8939,0.9417,0.8309,2.4165,30.73,0.296,747,7.109,4.78,107.0
