model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.3,27,268,139,5.148,414.8,24,0.1727,0.8889,0.2892,24,0.1727,0.8889,0.2892,0,0,1.0,1.103,1.078,0.3591,0.4475,0.744,0.9015,0.971,0.6932,0.108,28.15,0.311,2199,12.691,10.95,274.7
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.5,27,183,98,3.63,263.0,24,0.2449,0.8889,0.384,24,0.2449,0.8889,0.384,0,0,0.9259,1.103,1.078,0.6199,0.7222,0.869,0.9196,0.977,0.8213,0.8861,30.96,0.266,2199,12.691,7.72,274.7
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,0.7,27,129,74,2.741,174.1,22,0.2973,0.8148,0.4356,22,0.2973,0.8148,0.4356,0,0,0.7778,1.103,1.099,0.762,0.8348,0.8975,0.9484,0.9811,0.8866,1.2627,31.78,0.279,2199,12.691,5.83,274.7
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.3,25,344,162,6.48,548.0,19,0.1173,0.76,0.2032,19,0.1173,0.76,0.2032,0,0,0.96,0.999,0.968,0.3759,0.5508,0.7154,0.8658,0.9375,0.6903,-0.4602,28.51,0.268,2200,12.729,12.73,298.4
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.5,25,228,129,5.16,416.0,18,0.1395,0.72,0.2338,18,0.1395,0.72,0.2338,0,0,0.92,0.999,0.963,0.5883,0.6493,0.7828,0.8884,0.9443,0.771,-0.1406,29.59,0.263,2200,12.729,10.13,298.4
kprcnn-nojitter-v1,Yakima-Toppenish_01_20260503,Yakima (arid),trained,1,1,0.7,25,133,84,3.36,236.0,17,0.2024,0.68,0.3119,17,0.2024,0.68,0.3119,0,0,0.84,0.999,0.97,0.7436,0.7861,0.8628,0.9259,0.9652,0.8556,0.1627,29.75,0.272,2200,12.729,6.6,298.4
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.3,24,165,87,3.625,262.5,23,0.2644,0.9583,0.4144,23,0.2644,0.9583,0.4144,0,0,1.0,0.909,0.858,0.346,0.4238,0.6704,0.8707,0.9808,0.6654,0.2441,28.18,0.324,1212,7.109,12.24,179.7
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.5,24,113,60,2.5,150.0,23,0.3833,0.9583,0.5476,23,0.3833,0.9583,0.5476,0,0,0.9167,0.909,0.858,0.5881,0.6598,0.8269,0.9439,0.9821,0.7959,0.78,29.34,0.278,1212,7.109,8.44,179.7
kprcnn-nojitter-v1,auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,trained,1,1,0.7,24,79,40,1.667,66.7,20,0.5,0.8333,0.625,20,0.5,0.8333,0.625,0,0,0.8333,0.909,0.859,0.7449,0.832,0.8877,0.9795,0.9848,0.8866,1.2943,31.28,0.278,1212,7.109,5.63,179.7
